food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times,GEOID
831.6,1.8532912,3.238242,256.6,128.0,48201231100
788.3,1.6240528,2.0646682,182.0,120.3,48201231200
600.8,1.7224911,1.236193,112.7,77.8,48201231300
421.3,0.5060852,2.8686585,176.7,43.6,48201231400
304.1,0.44272318,3.3444803,160.1,56.5,48201231500
280.1,0.9200395,2.883353,132.9,51.3,48201231600
258.2,1.705952,3.183383,95.2,59.9,48201231700
362.9,1.7115605,3.948386,87.8,11.0,48201231800
469.1,0.53526145,3.6930368,180.2,147.1,48201231900
77.2,0.64926696,6.571461,72.8,77.2,48201232000
168.6,0.51003826,6.6050177,58.9,40.5,48201232100
0.0,0.00026736545,7.3605037,0.0,0.0,48201232200
796.1,0.82976735,2.703751,225.9,218.9,48201232301
798.7,0.00032238406,3.2214212,228.5,221.5,48201232302
785.5,2.538893,6.537912,327.9,239.1,48201232401
781.9,1.5348989,6.893505,324.3,235.5,48201232402
784.0,1.4749954,6.889689,326.4,237.6,48201232403
706.6,2.3956532,3.727344,222.8,209.6,48201232500
490.4,0.0003047251,3.777823,221.0,156.3,48201232600
806.9,1.0028726,5.749447,135.4,89.2,48201232701
670.6,0.56447065,6.5945506,127.5,41.2,48201232702
799.3,0.31887323,7.8461914,34.8,80.0,48201232800
878.5,0.32308355,9.019865,14.4,33.3,48201232900
860.8,0.00023087802,10.311053,59.7,95.8,48201233001
860.8,0.00023087802,10.311053,59.7,95.8,48201233002
860.8,0.00023087802,10.311053,59.7,95.8,48201233003
854.4,0.1004871,10.380036,66.2,88.1,48201233101
793.6,0.9442077,9.819875,108.1,23.8,48201233102
781.3,1.2560536,9.789786,113.8,0.0,48201233103
801.6,0.33269966,8.722877,15.0,46.2,48201233200
777.3,1.6665733,8.204198,64.7,98.8,48201233300
487.5,0.5267545,3.7267575,221.3,154.7,48201233400
760.4,0.56912935,4.551699,250.1,187.3,48201233500
532.0,1.5343598,2.8360872,248.2,35.1,48201233600
418.4,0.2666399,4.721408,311.4,9.7,48201233701
464.0,0.7626241,3.6644366,315.0,34.5,48201233702
752.4,0.974553,6.6058607,82.3,57.6,48201233703
123.5,0.5814049,0.9601925,166.9,20.4,48201240100
189.0,0.801471,9.892281e-05,249.7,0.0,48201240400
152.5,0.9210187,0.6090674,213.2,52.7,48201240501
144.3,0.3131681,0.73091775,174.4,75.4,48201240502
38.4,0.45318502,0.33718556,214.5,66.3,48201240600
373.7,0.929821,2.776327,297.7,416.5,48201240701
373.7,0.929821,2.776327,297.7,416.5,48201240702
373.7,0.929821,2.776327,297.7,416.5,48201240801
373.7,0.929821,2.776327,297.7,416.5,48201240802
0.0,4.5358145e-05,4.5358145e-05,0.0,0.0,48201240901
0.0,4.5358145e-05,4.5358145e-05,0.0,0.0,48201240902
373.7,0.929821,2.776327,297.7,416.5,48201241000
373.7,0.929821,2.776327,297.7,416.5,48201241101
373.7,0.929821,2.776327,297.7,416.5,48201241102
373.7,0.929821,2.776327,297.7,416.5,48201241103
373.7,0.929821,2.776327,297.7,416.5,48201241200
373.7,0.929821,2.776327,297.7,416.5,48201241300
373.7,0.929821,2.776327,297.7,416.5,48201241400
0.0,4.5358145e-05,4.5358145e-05,0.0,0.0,48201241500
0.0,0.00026736545,7.3605037,0.0,0.0,48201250100
0.0,0.00026736545,7.3605037,0.0,0.0,48201250200
