food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times,GEOID
549.9,0.9443954,4.5747223,114.0,98.3,13121008202
300.7,0.86724865,1.4893097,62.6,26.3,13121008301
210.2,0.4915427,0.5229015,0.0,44.7,13121008302
213.5,0.7867148,1.3241357,28.2,13.7,13121008400
315.8,0.25425532,1.430937,46.8,22.8,13121008500
464.4,0.6449029,2.7141004,54.3,25.6,13121008601
434.4,0.32390684,2.9260113,64.2,0.0,13121008602
513.2,1.0509679,1.5196415,151.0,41.8,13121008700
536.0,0.3014501,0.8914147,168.9,157.2,13121008800
66.7,0.20409791,0.9656691,112.2,21.8,13121008902
232.1,0.80622846,1.533805,129.6,62.6,13121008903
184.6,0.5231368,1.040279,184.6,27.8,13121008904
57.8,0.3314188,1.2179962,57.8,66.8,13121009000
28.1,0.25591648,0.9943314,76.6,48.6,13121009101
100.4,0.22719783,0.86618835,103.3,75.3,13121009102
258.9,0.2596232,0.77860904,308.5,281.7,13121009200
60.2,0.34459084,0.6339219,88.9,69.5,13121009300
0.0,0.58698756,0.18632625,36.1,91.4,13121009402
169.2,0.2996746,1.2851131,195.7,141.4,13121009403
188.4,0.9778707,0.94508827,152.5,204.8,13121009404
173.4,0.45653236,1.3609341,118.1,133.4,13121009501
38.4,0.25857243,1.7766671,72.1,69.7,13121009502
65.1,0.71775955,0.96446,108.2,31.0,13121009601
93.4,0.5685378,0.36346546,57.5,109.8,13121009602
50.4,0.15114668,1.3582431,31.6,74.0,13121009603
184.5,1.6457958,1.6964418,111.1,133.2,13121009700
102.0,0.9628576,1.6314495,40.5,5.8,13121009801
182.4,1.9511126,1.7098953,148.7,131.6,13121009802
177.0,1.0480604,2.6223068,154.2,84.2,13121009900
111.8,0.27171615,1.6609353,46.3,79.8,13121010001
130.9,0.45371133,2.4316518,119.5,46.8,13121010002
289.4,0.96330154,3.946356,273.9,111.7,13121010106
289.4,0.96330154,3.946356,273.9,111.7,13121010107
289.4,0.96330154,3.946356,273.9,111.7,13121010108
279.3,0.9037538,3.9286559,263.8,101.6,13121010110
190.8,0.87709475,3.4483106,299.0,151.6,13121010113
67.6,0.88855505,3.4097176,240.0,73.2,13121010114
279.3,0.9037538,3.9286559,263.8,101.6,13121010115
279.3,0.9037538,3.9286559,263.8,101.6,13121010117
279.3,0.9037538,3.9286559,263.8,101.6,13121010118
279.3,0.9037538,3.9286559,263.8,101.6,13121010119
279.3,0.9037538,3.9286559,263.8,101.6,13121010120
162.6,1.102478,4.8408237,231.6,172.0,13121010121
279.3,0.9037538,3.9286559,263.8,101.6,13121010122
162.6,1.102478,4.8408237,231.6,172.0,13121010123
258.6,1.0510879,4.4763904,103.4,103.9,13121010204
162.6,1.102478,4.8408237,231.6,172.0,13121010205
344.8,1.0538291,3.2267745,99.8,102.0,13121010206
162.6,1.102478,4.8408237,231.6,172.0,13121010208
162.6,1.102478,4.8408237,231.6,172.0,13121010209
162.6,1.102478,4.8408237,231.6,172.0,13121010210
169.0,0.58578515,4.3857884,46.6,63.5,13121010211
162.6,1.102478,4.8408237,231.6,172.0,13121010212
420.5,0.65653986,10.454167,249.2,99.7,13121010301
367.8,1.4309384,9.334873,71.9,73.2,13121010303
209.3,1.6282221,10.1656885,190.6,151.8,13121010304
209.3,1.6282221,10.1656885,190.6,151.8,13121010400
0.0,1.298677,8.931948,203.9,165.1,13121010507
0.0,1.298677,8.931948,203.9,165.1,13121010508
209.0,1.3674989,9.757568,190.3,151.5,13121010510
0.0,1.298677,8.931948,203.9,165.1,13121010511
209.0,1.3674989,9.757568,190.3,151.5,13121010512
209.0,1.3674989,9.757568,190.3,151.5,13121010513
209.3,1.6282221,10.1656885,190.6,151.8,13121010514
0.0,1.298677,8.931948,203.9,165.1,13121010515
0.0,1.298677,8.931948,203.9,165.1,13121010516
194.6,0.50175124,6.759689,142.6,66.4,13121010601
218.9,0.51413333,6.9900365,166.9,90.7,13121010603
0.0,1.298677,8.931948,203.9,165.1,13121010604
84.8,2.3224728,3.464802,74.8,0.0,13121010800
