GEOID,COUNTYFP,INTPTLAT,INTPTLONG
13121011622,13121,34.0444026,-84.1466692                                                                                                                                       
13121011623,13121,34.022421,-84.1803637                                                                                                                                         
13121011624,13121,34.0787883,-84.191633                                                                                                                                          
13121011625,13121,34.0286753,-84.1956636                                                                                                                                         
13121011626,13121,34.0618554,-84.1874179                                                                                                                                          
13121011800,13121,33.7708994,-84.4087872                                                                                                                                                
13121011900,13121,33.7538839,-84.3825135                                                                                                                                                
13121012000,13121,33.7361403,-84.392823                                                                                                                                                 
13121012300,13121,33.6613178,-84.4395348                                                                                                                                                
13121980000,13121,33.6518535,-84.4257125                                                                                                                                                
