GEOID,COUNTYFP,INTPTLAT,INTPTLONG
48167721100,48167,29.479224,-95.0246654                                                                                                                                        
48167721201,48167,29.5151741,-95.0491282                                                                                                                                         
48167721202,48167,29.502479,-95.0285762                                                                                                                                        
48167721300,48167,29.5198164,-95.0841364                                                                                                                                         
48167721400,48167,29.5356563,-95.0409549                                                                                                                                        
48167721500,48167,29.5445737,-95.051876                                                                                                                                        
48167721600,48167,29.5313814,-95.0098373                                                                                                                                         
48167721700,48167,29.4908334,-94.9817347                                                                                                                                        
48167721800,48167,29.482223,-94.9438244                                                                                                                                        
48167721900,48167,29.4376953,-94.9821525                                                                                                                                     
48167722001,48167,29.4183084,-94.9251834                                                                                                                                        
48167722002,48167,29.4013196,-94.9310115                                                                                                                                                
48167722100,48167,29.4024261,-94.9088859                                                                                                                                                
48167722200,48167,29.390097,-94.9014714                                                                                                                                                 
48167722300,48167,29.390119,-94.9240602                                                                                                                                                 
48167722600,48167,29.3892824,-94.9619207                                                                                                                                         
48167722700,48167,29.3867309,-94.9893812                                                                                                                                         
48167722800,48167,29.3657666,-94.9646367                                                                                                                                                   
48167722900,48167,29.3632625,-94.9800379                                                                                                                                                
48167723000,48167,29.3738058,-94.98671                                                                                                                                                  
48167723100,48167,29.3910239,-95.0164301                                                                                                                                        
48167723200,48167,29.3727818,-95.023196                                                                                                                                        
48167723300,48167,29.4077516,-95.0578398                                                                                                                                         
48167723400,48167,29.410912,-95.1383508                                                                                                                                       
48167723501,48167,29.3592871,-95.0687092                                                                                                                                          
48167723502,48167,29.3534564,-95.1251865                                                                                                                                      
48167723600,48167,29.3036253,-95.032385                                                                                                                                    
48167723700,48167,29.3437883,-94.9829223                                                                                                                                        
48167723800,48167,29.3314807,-94.9436304                                                                                                                                      
48167723900,48167,29.4889133,-94.7845764                                                                                                                                
48167724000,48167,29.3510179,-94.823586                                                                                                                                     
48167724101,48167,29.3220243,-94.743232                                                                                                                                        
48167724200,48167,29.3200552,-94.7716394                                                                                                                                          
48167724300,48167,29.3077121,-94.7803621                                                                                                                                                
48167724400,48167,29.299008,-94.7843945                                                                                                                                                 
48167724500,48167,29.3037509,-94.7945196                                                                                                                                                
48167724600,48167,29.2976535,-94.8080731                                                                                                                                                  
48167724700,48167,29.2946041,-94.7998089                                                                                                                                                 
48167724800,48167,29.2920594,-94.7927922                                                                                                                                                 
48167724900,48167,29.28692,-94.8013962                                                                                                                                                   
48167725000,48167,29.2831185,-94.808191                                                                                                                                                  
48167725100,48167,29.2907716,-94.8095777                                                                                                                                                  
48167725200,48167,29.288466,-94.825915                                                                                                                                                   
48167725300,48167,29.2861118,-94.8267611                                                                                                                                         
48167725400,48167,29.2819218,-94.8208616                                                                                                                                                
48167725500,48167,29.2753211,-94.8191357                                                                                                                                          
48167725600,48167,29.2676962,-94.8320423                                                                                                                                        
48167725700,48167,29.2665918,-94.8465954                                                                                                                                         
48167725800,48167,29.2834323,-94.8633315                                                                                                                                        
48167725900,48167,29.2607101,-94.8608274                                                                                                                                        
48167726000,48167,29.2523177,-94.9240727                                                                                                                                     
48167726100,48167,29.1695758,-95.0254882                                                                                                                                   
48167726200,48167,29.3584093,-94.9155031                                                                                                                                     
48167990000,48167,29.317409,-94.7274193                                                                                                                                             
48201100000,48201,29.7572831,-95.3627308                                                                                                                                          
48201210100,48201,29.7663846,-95.3513042                                                                                                                                          
48201210400,48201,29.7864497,-95.3622075                                                                                                                                                
48201210500,48201,29.7952577,-95.3603828                                                                                                                                                
48201210600,48201,29.8070404,-95.3653598                                                                                                                                                
48201210700,48201,29.8063932,-95.3539843                                                                                                                                          
48201210800,48201,29.7952081,-95.344723                                                                                                                                           
48201210900,48201,29.8041585,-95.3312426                                                                                                                                                
48201211000,48201,29.7970912,-95.3321489                                                                                                                                                
48201211100,48201,29.7870751,-95.3320395                                                                                                                                                
48201211200,48201,29.7981731,-95.3203735                                                                                                                                                
48201211300,48201,29.77744,-95.3274089                                                                                                                                                  
48201211400,48201,29.7657514,-95.3282383                                                                                                                                        
48201211500,48201,29.766666,-95.2968872                                                                                                                                           
48201211600,48201,29.7809781,-95.3115453                                                                                                                                                 
48201211700,48201,29.7965959,-95.3043165                                                                                                                                          
48201211900,48201,29.783817,-95.2995098                                                                                                                                                 
48201212300,48201,29.7747755,-95.3550489                                                                                                                                         
48201212400,48201,29.7863474,-95.2850878                                                                                                                                         
48201212500,48201,29.7520836,-95.2767055                                                                                                                                        
48201220100,48201,29.8151583,-95.3435294                                                                                                                                                
48201220200,48201,29.816574,-95.3650519                                                                                                                                                  
48201220300,48201,29.8242157,-95.3657275                                                                                                                                                
48201220400,48201,29.831578,-95.3663222                                                                                                                                              
48201220500,48201,29.8362174,-95.3814687                                                                                                                                                
48201220600,48201,29.8418052,-95.3668801                                                                                                                                                
48201220700,48201,29.8342967,-95.3496337                                                                                                                                                
48201220800,48201,29.8308466,-95.3387038                                                                                                                                                 
48201220900,48201,29.8488405,-95.3376376                                                                                                                                                
48201221000,48201,29.8603325,-95.3448895                                                                                                                                          
48201221100,48201,29.860055,-95.3546869                                                                                                                                           
48201221200,48201,29.8645953,-95.3740348                                                                                                                                                
48201221300,48201,29.8523942,-95.3727789                                                                                                                                                
48201221400,48201,29.8534357,-95.391567                                                                                                                                                  
48201221500,48201,29.8671492,-95.3950346                                                                                                                                              
48201221600,48201,29.8792764,-95.4010173                                                                                                                                          
48201221700,48201,29.8802173,-95.3785577                                                                                                                                          
48201221800,48201,29.882525,-95.3610554                                                                                                                                           
48201221900,48201,29.8818677,-95.3491038                                                                                                                                                
48201222000,48201,29.8680795,-95.336921                                                                                                                                               
48201222100,48201,29.8797791,-95.3349059                                                                                                                                              
48201222200,48201,29.892562,-95.3254249                                                                                                                                          
48201222300,48201,29.8959119,-95.3513748                                                                                                                                          
48201222401,48201,29.9005904,-95.3964095                                                                                                                                          
48201222402,48201,29.9111919,-95.3889136                                                                                                                                         
48201222501,48201,29.9283143,-95.4058397                                                                                                                                                 
48201222502,48201,29.9253365,-95.3885504                                                                                                                                          
48201222503,48201,29.9203357,-95.4033164                                                                                                                                              
48201222600,48201,29.935753,-95.3977445                                                                                                                                                 
48201222700,48201,29.9343627,-95.3357433                                                                                                                                         
48201222800,48201,29.9234175,-95.3657928                                                                                                                                         
