POPULATION,LATITUDE,LONGITUDE,CountyFIPS,TractFIPS
1656,+40.897735,-073.864431,36005,36005045101
1894,+40.900575,-073.864684,36005,36005045102
2896,+40.890172,-073.828492,36005,36005045600
6123,+40.885903,-073.845210,36005,36005045800
2741,+40.882181,-073.843185,36005,36005046000
26588,+40.875212,-073.828532,36005,36005046201
8277,+40.877999,-073.835716,36005,36005046202
3598,+40.885661,-073.835151,36005,36005048400
39,+40.868858,-073.776389,36005,36005050400
4362,+40.846946,-073.786788,36005,36005051600
4338,+40.699527,-073.993088,36047,36047000100
1470,+40.651961,-074.011567,36047,36047000200
4259,+40.696501,-073.996338,36047,36047000301
4247,+40.696483,-073.994382,36047,36047000501
2512,+40.695124,-073.993063,36047,36047000502
3359,+40.692330,-073.996669,36047,36047000700
4172,+40.691228,-073.991482,36047,36047000900
84,+40.692316,-073.986893,36047,36047001100
2275,+40.698370,-073.987694,36047,36047001300
3521,+40.694450,-073.982587,36047,36047001500
2105,+40.659984,-074.003867,36047,36047001800
1672,+40.647595,-074.016564,36047,36047002000
3604,+40.702634,-073.988025,36047,36047002100
4613,+40.643363,-074.021297,36047,36047002200
4247,+40.700152,-073.982514,36047,36047002300
3218,+40.695056,-073.978323,36047,36047002901
1730,+40.638476,-074.029307,36047,36047003000
2472,+40.692266,-073.979616,36047,36047003100
2327,+40.688589,-073.977353,36047,36047003300
3047,+40.637292,-074.034060,36047,36047003400
1554,+40.685683,-073.975653,36047,36047003500
3804,+40.634625,-074.030857,36047,36047003600
390,+40.689246,-073.984537,36047,36047003700
1498,+40.634451,-074.035093,36047,36047003800
2229,+40.685186,-073.980995,36047,36047003900
3598,+40.686708,-073.985136,36047,36047004100
3008,+40.688045,-073.989634,36047,36047004300
2359,+40.630907,-074.034506,36047,36047004400
3325,+40.688212,-073.995237,36047,36047004500
1199,+40.626827,-074.033259,36047,36047004600
1445,+40.687052,-074.000877,36047,36047004700
2516,+40.687656,-073.998635,36047,36047004900
2276,+40.623782,-074.037263,36047,36047005000
2171,+40.683553,-074.003399,36047,36047005100
1829,+40.621677,-074.038588,36047,36047005201
2481,+40.619610,-074.038477,36047,36047005202
1888,+40.676691,-074.012951,36047,36047005300
3139,+40.617107,-074.035204,36047,36047005400
2505,+40.615382,-074.034784,36047,36047005601
1586,+40.613316,-074.034788,36047,36047005602
3152,+40.619164,-074.032372,36047,36047005800
1384,+40.678348,-074.006685,36047,36047005900
2826,+40.622117,-074.031389,36047,36047006000
2853,+40.624533,-074.029941,36047,36047006200
1892,+40.682777,-074.000934,36047,36047006300
3478,+40.628723,-074.028647,36047,36047006400
5191,+40.679317,-073.999358,36047,36047006500
3663,+40.632182,-074.027603,36047,36047006600
3301,+40.684081,-073.997389,36047,36047006700
4870,+40.635272,-074.025942,36047,36047006800
3537,+40.685272,-073.991552,36047,36047006900
2344,+40.638118,-074.024970,36047,36047007000
4495,+40.683633,-073.987830,36047,36047007100
1946,+40.640364,-074.020278,36047,36047007200
5451,+40.641916,-074.016923,36047,36047007400
4383,+40.681608,-073.992614,36047,36047007500
4412,+40.644123,-074.014800,36047,36047007600
3901,+40.677758,-073.995528,36047,36047007700
5068,+40.646391,-074.012274,36047,36047007800
4169,+40.648384,-074.009799,36047,36047008000
4141,+40.650695,-074.007531,36047,36047008200
3299,+40.653935,-074.004343,36047,36047008400
6956,+40.675561,-074.006408,36047,36047008500
0,+40.647976,-074.003743,36047,36047008600
3207,+40.649628,-074.002337,36047,36047008800
2994,+40.646751,-073.997938,36047,36047009000
5388,+40.645135,-073.999002,36047,36047009200
5805,+40.643359,-074.001468,36047,36047009400
6126,+40.645996,-074.005704,36047,36047009600
7024,+40.643895,-074.008121,36047,36047009800
6737,+40.641500,-074.010495,36047,36047010000
4093,+40.657697,-074.000186,36047,36047010100
5622,+40.639379,-074.012441,36047,36047010200
5908,+40.636661,-074.008422,36047,36047010400
5851,+40.638948,-074.006168,36047,36047010600
5280,+40.640993,-074.003827,36047,36047010800
2441,+40.644174,-073.993019,36047,36047011000
6436,+40.642518,-073.995917,36047,36047011200
3976,+40.639449,-073.999324,36047,36047011400
4816,+40.635632,-074.003949,36047,36047011600
2364,+40.668034,-073.992632,36047,36047011700
2253,+40.636221,-074.011862,36047,36047011800
1530,+40.676802,-073.986233,36047,36047011900
1268,+40.632501,-074.009395,36047,36047012000
1619,+40.671273,-073.990723,36047,36047012100
5339,+40.638810,-074.017478,36047,36047012200
2652,+40.634497,-074.019883,36047,36047012600
3507,+40.682060,-073.982572,36047,36047012700
2117,+40.630606,-074.013849,36047,36047012801
2159,+40.681558,-073.978638,36047,36047012901
1964,+40.680123,-073.976400,36047,36047012902
4792,+40.632642,-074.021533,36047,36047013000
3828,+40.677721,-073.979685,36047,36047013100
2239,+40.628893,-074.014882,36047,36047013200
3730,+40.675175,-073.981156,36047,36047013300
3907,+40.629814,-074.021119,36047,36047013400
3596,+40.672797,-073.983029,36047,36047013500
3927,+40.627145,-074.023426,36047,36047013600
3057,+40.670425,-073.985182,36047,36047013700
3168,+40.624256,-074.025466,36047,36047013800
3481,+40.667935,-073.987522,36047,36047013900
1826,+40.620912,-074.019571,36047,36047014000
3017,+40.665388,-073.989291,36047,36047014100
3223,+40.622659,-074.023371,36047,36047014200
3487,+40.663381,-073.992621,36047,36047014300
4179,+40.661360,-073.995102,36047,36047014500
2084,+40.659578,-073.989924,36047,36047014700
1209,+40.616787,-074.012878,36047,36047014800
4976,+40.662549,-073.985051,36047,36047014900
1574,+40.615524,-074.010606,36047,36047015000
3578,+40.665554,-073.982592,36047,36047015100
2309,+40.616141,-074.024043,36047,36047015200
3041,+40.668041,-073.980630,36047,36047015300
0,+40.611183,-074.018907,36047,36047015400
3272,+40.670536,-073.978664,36047,36047015500
4135,+40.672971,-073.976281,36047,36047015700
5036,+40.675438,-073.973698,36047,36047015900
4217,+40.618486,-074.026989,36047,36047016000
3075,+40.679558,-073.973336,36047,36047016100
2082,+40.614054,-074.031161,36047,36047016200
2991,+40.678126,-073.970368,36047,36047016300
764,+40.606945,-074.027657,36047,36047016400
5141,+40.670098,-073.973942,36047,36047016500
2059,+40.618670,-074.016299,36047,36047016600
4638,+40.664285,-073.978784,36047,36047016700
1510,+40.604665,-074.015246,36047,36047016800
4497,+40.659503,-073.981384,36047,36047016900
3254,+40.610150,-074.012579,36047,36047017000
3749,+40.657146,-073.976802,36047,36047017100
2931,+40.608628,-074.010546,36047,36047017200
1793,+40.604302,-074.011358,36047,36047017400
5,+40.652141,-073.990253,36047,36047017500
2295,+40.602991,-074.008576,36047,36047017600
0,+40.659427,-073.969558,36047,36047017700
2898,+40.606988,-074.004864,36047,36047017800
3624,+40.684165,-073.971237,36047,36047017900
3193,+40.608166,-074.007348,36047,36047018000
3936,+40.687904,-073.972700,36047,36047018100
3163,+40.612346,-074.002764,36047,36047018200
2500,+40.691629,-073.971585,36047,36047018300
2002,+40.613642,-074.007149,36047,36047018400
3827,+40.694708,-073.974254,36047,36047018501
2124,+40.615625,-074.005080,36047,36047018600
1411,+40.694442,-073.970436,36047,36047018700
2640,+40.617397,-074.002852,36047,36047018800
4782,+40.621467,-074.000359,36047,36047019000
2332,+40.694731,-073.965377,36047,36047019100
2772,+40.628850,-073.999002,36047,36047019200
5628,+40.691228,-073.962328,36047,36047019300
3305,+40.625570,-074.000897,36047,36047019400
3366,+40.691743,-073.967638,36047,36047019500
4353,+40.623505,-074.004055,36047,36047019600
3313,+40.687964,-073.966613,36047,36047019700
1702,+40.619361,-074.006615,36047,36047019800
2929,+40.684491,-073.967126,36047,36047019900
2265,+40.620885,-074.008615,36047,36047020000
3421,+40.683983,-073.963628,36047,36047020100
1874,+40.622248,-074.010783,36047,36047020200
1697,+40.679868,-073.964906,36047,36047020300
1708,+40.623473,-074.013096,36047,36047020400
2469,+40.677319,-073.965722,36047,36047020500
2220,+40.625181,-074.015068,36047,36047020600
4310,+40.674862,-073.966681,36047,36047020700
3048,+40.626009,-074.009723,36047,36047020800
3968,+40.627781,-074.008377,36047,36047021000
1210,+40.697047,-073.974701,36047,36047021100
4643,+40.629492,-074.005770,36047,36047021200
4205,+40.668048,-073.960297,36047,36047021300
2152,+40.631854,-074.002483,36047,36047021400
5307,+40.673123,-073.964015,36047,36047021500
4015,+40.632973,-073.999882,36047,36047021600
3597,+40.672696,-073.959061,36047,36047021700
3761,+40.634422,-073.997969,36047,36047021800
3595,+40.672150,-073.955235,36047,36047021900
